北方广电,#genre#
CCTV-1综合,http://120.76.248.139/live/bfgd/4200000201.m3u8
CCTV-1综合,http://120.76.248.139/live/bfgd/4200000484.m3u8
CCTV-1综合,http://120.76.248.139/live/bfgd/4200000488.m3u8
CCTV-1综合,http://120.76.248.139/live/bfgd/4200000489.m3u8
CCTV-1综合,http://120.76.248.139/live/bfgd/4200000501.m3u8
CCTV-2经济,http://120.76.248.139/live/bfgd/4200000061.m3u8
CCTV-3综艺,http://120.76.248.139/live/bfgd/4200000062.m3u8
CCTV-4中文国际,http://120.76.248.139/live/bfgd/4200000063.m3u8
CCTV-5+体育赛事,http://120.76.248.139/live/bfgd/4200000246.m3u8
CCTV-5体育,http://120.76.248.139/live/bfgd/4200000064.m3u8
CCTV-6电影,http://120.76.248.139/live/bfgd/4200000065.m3u8
CCTV-7国防军事,http://120.76.248.139/live/bfgd/4200000127.m3u8
CCTV-8电视剧,http://120.76.248.139/live/bfgd/4200000066.m3u8
CCTV-9记录,http://120.76.248.139/live/bfgd/4200000128.m3u8
CCTV-10科教,http://120.76.248.139/live/bfgd/4200000129.m3u8
CCTV-11戏曲,http://120.76.248.139/live/bfgd/4200000130.m3u8
CCTV-12社会与法,http://120.76.248.139/live/bfgd/4200000131.m3u8
CCTV-13新闻,http://120.76.248.139/live/bfgd/4200000067.m3u8
CCTV-14少儿,http://120.76.248.139/live/bfgd/4200000132.m3u8
CCTV-15音乐,http://120.76.248.139/live/bfgd/4200000133.m3u8
CCTV-17农业农村,http://120.76.248.139/live/bfgd/4200000204.m3u8
CCTV-电视指南,http://120.76.248.139/live/bfgd/4200000164.m3u8
CCTV-风云足球,http://120.76.248.139/live/bfgd/4200000225.m3u8
CCTV-怀旧剧场,http://120.76.248.139/live/bfgd/4200000224.m3u8
CCTV-女性时尚,http://120.76.248.139/live/bfgd/4200000176.m3u8
CCTV-世界地理,http://120.76.248.139/live/bfgd/4200000177.m3u8
CETV-1,http://120.76.248.139/live/bfgd/4200000135.m3u8
CETV-2,http://120.76.248.139/live/bfgd/4200000492.m3u8
CGTN,http://120.76.248.139/live/bfgd/4200000134.m3u8
CGTN-阿拉伯语,http://120.76.248.139/live/bfgd/4200000308.m3u8
CGTN-俄罗斯语,http://120.76.248.139/live/bfgd/4200000309.m3u8
CGTN-法语,http://120.76.248.139/live/bfgd/4200000307.m3u8
CGTN-西班牙语,http://120.76.248.139/live/bfgd/4200000306.m3u8
CHC华诚影视,http://120.76.248.139/live/bfgd/4200000289.m3u8
安徽卫视,http://120.76.248.139/live/bfgd/4200000096.m3u8
鞍山新闻综合,http://120.76.248.139/live/bfgd/4200000274.m3u8
北方导视,http://120.76.248.139/live/bfgd/4200000187.m3u8
