CCTV4K超高清,rtp://232.0.0.89:8650
北京卫视4K,rtp://232.0.0.113:8602
北京卫视4K,rtp://232.0.0.231:9358
广东卫视4K,rtp://232.0.0.60:8696
深圳卫视4K,rtp://232.0.0.38:8600
欢笑剧场4K,rtp://232.0.0.150:9160
爱上4K,rtp://232.0.0.104:8632
CCTV1,rtp://232.0.0.15:8638
CCTV1,rtp://232.0.0.213:9244
CCTV1,rtp://232.0.0.25:8680
CCTV1,rtp://232.0.0.27:8808
CCTV1,rtp://232.0.0.46:8616
CCTV1,rtp://232.0.0.62:8814
CCTV1,rtp://232.0.0.105:8826
CCTV1,rtp://232.0.0.1:8628
CCTV1,rtp://232.0.0.242:9168
CCTV2,rtp://232.0.0.132:9144
CCTV2,rtp://232.0.0.2:8738
CCTV3,rtp://232.0.0.118:8870
CCTV3,rtp://232.0.0.198:9214
CCTV3,rtp://232.0.0.163:9330
CCTV4,rtp://232.0.0.148:9142
CCTV4,rtp://232.0.0.4:8504
CCTV4美洲,rtp://232.0.0.145:9110
CCTV4欧洲,rtp://232.0.0.210:9238
CCTV5,rtp://232.0.0.196:9210
CCTV5,rtp://232.0.0.164:9332
CCTV5+,rtp://232.0.0.93:8750
CCTV5+,rtp://232.0.0.92:8502
CCTV6,rtp://232.0.0.194:9206
CCTV6,rtp://232.0.0.165:9334
CCTV7,rtp://232.0.0.133:9146
CCTV7,rtp://232.0.0.7:8508
CCTV8,rtp://232.0.0.28:8710
CCTV8,rtp://232.0.0.166:9336
CCTV9,rtp://232.0.0.134:9148
CCTV9,rtp://232.0.0.5:8514
CCTV10,rtp://232.0.0.135:9150
CCTV10,rtp://232.0.0.10:8516
CCTV11,rtp://232.0.0.168:9340
CCTV11,rtp://232.0.0.11:8518
CCTV12,rtp://232.0.0.136:9152
CCTV12,rtp://232.0.0.12:8520
CCTV13,rtp://232.0.0.146:9112
CCTV13,rtp://232.0.0.13:8522
CCTV14,rtp://232.0.0.137:9154
CCTV14,rtp://232.0.0.14:8524
CCTV15,rtp://232.0.0.169:9342
CCTV15,rtp://232.0.0.41:8526
CCTV16,rtp://232.0.0.36:8694
CCTV17,rtp://232.0.0.63:8686
CCTV17,rtp://232.0.0.228:9278
CETV1 ,rtp://232.0.0.192:9202
CETV2,rtp://232.0.0.98:8612
CETV4,rtp://232.0.0.175:9354
CETV4,rtp://232.0.0.51:8690
CGTN阿拉伯语,rtp://232.0.0.8:8664
CGTN俄语,rtp://232.0.0.43:8660
CGTN法语,rtp://232.0.0.176:9170
CGTN记录,rtp://232.0.0.201:9220
CGTN记录,rtp://232.0.0.9:8832
